,name,formatted_name,url,url2
104,Serge Ibaka,Serge-Ibaka,https://www.2kratings.com/wp-content/uploads/Serge-Ibaka-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Serge-Ibaka-2K.png
105,Sam Cassell,Sam-Cassell,https://www.2kratings.com/wp-content/uploads/Sam-Cassell-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Sam-Cassell-2K.png
106,Jaylen Brown,Jaylen-Brown,https://www.2kratings.com/wp-content/uploads/Jaylen-Brown-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jaylen-Brown-2K.png
107,LaMelo Ball,LaMelo-Ball,https://www.2kratings.com/wp-content/uploads/LaMelo-Ball-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/LaMelo-Ball-2K.png
108,Jarrett Allen,Jarrett-Allen,https://www.2kratings.com/wp-content/uploads/Jarrett-Allen-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jarrett-Allen-2K.png
109,Khris Middleton,Khris-Middleton,https://www.2kratings.com/wp-content/uploads/Khris-Middleton-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Khris-Middleton-2K.png
110,Deandre Ayton,Deandre-Ayton,https://www.2kratings.com/wp-content/uploads/Deandre-Ayton-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Deandre-Ayton-2K.png
111,Kristaps Porzingis,Kristaps-Porzingis,https://www.2kratings.com/wp-content/uploads/Kristaps-Porzingis-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kristaps-Porzingis-2K.png
112,George McGinnis,George-McGinnis,https://www.2kratings.com/wp-content/uploads/George-McGinnis-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/George-McGinnis-2K.png
113,Paul Pressey,Paul-Pressey,https://www.2kratings.com/wp-content/uploads/Paul-Pressey-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Paul-Pressey-2K.png
114,Joakim Noah,Joakim-Noah,https://www.2kratings.com/wp-content/uploads/Joakim-Noah-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Joakim-Noah-2K.png
115,Robert Parish,Robert-Parish,https://www.2kratings.com/wp-content/uploads/Robert-Parish-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Robert-Parish-2K.png
116,Mike Conley,Mike-Conley,https://www.2kratings.com/wp-content/uploads/Mike-Conley-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Mike-Conley-2K.png
117,Chris Bosh,Chris-Bosh,https://www.2kratings.com/wp-content/uploads/Chris-Bosh-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Chris-Bosh-2K.png
118,Vlade Divac,Vlade-Divac,https://www.2kratings.com/wp-content/uploads/Vlade-Divac-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Vlade-Divac-2K.png
119,Jerry Lucas,Jerry-Lucas,https://www.2kratings.com/wp-content/uploads/Jerry-Lucas-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jerry-Lucas-2K.png
120,Arvydas Sabonis,Arvydas-Sabonis,https://www.2kratings.com/wp-content/uploads/Arvydas-Sabonis-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Arvydas-Sabonis-2K.png
121,Antawn Jamison,Antawn-Jamison,https://www.2kratings.com/wp-content/uploads/Antawn-Jamison-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Antawn-Jamison-2K.png
122,Caron Butler,Caron-Butler,https://www.2kratings.com/wp-content/uploads/Caron-Butler-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Caron-Butler-2K.png
123,Clint Capela,Clint-Capela,https://www.2kratings.com/wp-content/uploads/Clint-Capela-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Clint-Capela-2K.png
124,Jamal Murray,Jamal-Murray,https://www.2kratings.com/wp-content/uploads/Jamal-Murray-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jamal-Murray-2K.png
125,Tyler Herro,Tyler-Herro,https://www.2kratings.com/wp-content/uploads/Tyler-Herro-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Tyler-Herro-2K.png
126,Jrue Holiday,Jrue-Holiday,https://www.2kratings.com/wp-content/uploads/Jrue-Holiday-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jrue-Holiday-2K.png
127,Brandon Ingram,Brandon-Ingram,https://www.2kratings.com/wp-content/uploads/Brandon-Ingram-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Brandon-Ingram-2K.png
128,R.J. Barrett,R.J.-Barrett,https://www.2kratings.com/wp-content/uploads/R.J.-Barrett-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/R.J.-Barrett-2K.png
129,Doug Collins,Doug-Collins,https://www.2kratings.com/wp-content/uploads/Doug-Collins-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Doug-Collins-2K.png
130,Carlos Boozer,Carlos-Boozer,https://www.2kratings.com/wp-content/uploads/Carlos-Boozer-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Carlos-Boozer-2K.png
